Days,Days,du,airport,gabtoli,gulshan,jatrabari,mdpur,mirpur10,motijhil,old dhaka,tejgoan,,,,,,,,,,,,,,,
Fri,133,324.6145833,176.2708333,303.0526316,300.3052632,408.5368421,389.5,332.2708333,384.8958333,492.40625,428.4791667,,,,,,,,,,,,,,,
Sat,134,331.8229167,175.1666667,295.6421053,295.3368421,393.2210526,403.5104167,317.1770833,404.1979167,513.0833333,459.8020833,,,,,,,,,,,,,,,
Sun,135,325.5104167,175.2395833,303.1684211,306.8947368,401.8210526,477,326.28125,401.6354167,509.9166667,452.7291667,,,,,,,,,,,,,,,
Mon,136,312,176.2916667,305.8210526,306.6315789,400.8105263,477,333.8958333,402.6041667,509.1875,452.8333333,,,,,,,,,,,,,,,
Tue,137,334.53125,177.0625,308.3684211,309.0105263,406.1894737,477,328.9270833,403.8958333,514.7395833,458.1041667,,,,,,,,,,,,,,,
Wed,138,322.25,165.1354167,307.3052632,309.3789474,406.2842105,477,332.9895833,396.4166667,515.2708333,457.6041667,,,,,,,,,,,,,,,
Thu,139,295.28125,175.4895833,305.4315789,308.2315789,407.3368421,477,331.8020833,296.0729167,461.4479167,399.5729167,,,,,,,,,,,,,,,
Fri,140,324.6145833,175.9583333,305.6315789,303.6210526,414.9684211,477,332.2708333,295,492.40625,429.3541667,,,,,,,,,,,,,,,
Sat,141,331.8229167,174.9479167,293.0421053,294.1157895,388.0421053,477,317.8229167,295,513.0833333,461.2708333,,,,,,,,,,,,,,,
Sun,142,325.5104167,175.6875,303.6315789,305.0105263,401.5052632,477,326.28125,295,509.9166667,452.7291667,,,,,,,,,,,,,,,
Mon,143,312,176.4895833,305.2,306.8105263,401.2210526,477,333.8958333,295,509.1875,454.6145833,,,,,,,,,,,,,,,
Tue,144,334.53125,176.9895833,307.7684211,308.3894737,405.3263158,477,328.9270833,295,514.7395833,458.1041667,,,,,,,,,,,,,,,
Wed,145,322.2604167,165.3333333,307.7684211,307.9157895,406.2947368,477,332.9895833,295,515.2708333,457.6041667,,,,,,,,,,,,,,,
Thu,146,295.28125,129.1979167,305.0736842,309.6421053,407.2736842,477,331.8020833,295,461.4270833,399.5729167,,,,,,,,,,,,,,,
Fri,147,324.6145833,132,304.3263158,306.7789474,418.8947368,477,332.1458333,295,492.40625,429.3020833,,,,,,,,,,,,,,,
Sat,148,331.8229167,132,291.5052632,292.6210526,384.8105263,477,317.8229167,295,513.0833333,461.2708333,,,,,,,,,,,,,,,
Sun,149,325.5,132,303.6526316,302.1157895,402.0526316,477,326.28125,295,509.9166667,454.46875,,,,,,,,,,,,,,,
Mon,150,311.9791667,193.1770833,305.0210526,307.2947368,402.1263158,477,333.8958333,295,509.1875,454.6145833,,,,,,,,,,,,,,,
Tue,151,335.5625,195.3541667,308.4736842,308.3789474,405.3894737,408.2708333,328.9270833,400.6770833,515.8541667,458.1041667,,,,,,,,,,,,,,,
Wed,152,321.8229167,178.9583333,308.9684211,307.4947368,406.1789474,399.9791667,333.1041667,396.4166667,515.2708333,457.6041667,,,,,,,,,,,,,,,
Thu,153,294.7916667,190.5208333,306.4421053,308.9157895,407.5473684,367.2708333,331.8020833,366.4270833,461.4479167,399.5729167,,,,,,,,,,,,,,,
Fri,154,324.3645833,194.6145833,309.0210526,311.0947368,421.3894737,389.5104167,332.2708333,384.8958333,492.40625,428.4791667,,,,,,,,,,,,,,,
Sat,155,331.6875,192.71875,291.4842105,291.4210526,384.2526316,404.1145833,317.1770833,406.1666667,513.0833333,459.8020833,,,,,,,,,,,,,,,
Sun,156,325.1458333,194.7395833,304.6105263,299.8736842,402.3263158,400.59375,326.28125,399.7083333,509.9166667,454.46875,,,,,,,,,,,,,,,
Mon,157,311.6354167,193.0416667,305.6105263,308.0210526,403.6315789,401.96875,333.8958333,402.6041667,509.1875,452.75,,,,,,,,,,,,,,,
Tue,158,334.375,194.8333333,308.9894737,308.2210526,406.1473684,404.1145833,328.9270833,402.0729167,514.7395833,448.6458333,,,,,,,,,,,,,,,
Wed,159,321.8229167,180.6041667,308.8842105,308.3263158,406.9052632,400.0625,332.9895833,396.4166667,515.21875,457.6041667,,,,,,,,,,,,,,,
Thu,160,294.7916667,188.8333333,306.8947368,310.2947368,408.0631579,367.6354167,330.78125,366.4270833,461.4791667,399.5729167,,,,,,,,,,,,,,,
Fri,161,324.3645833,193.0625,310.5894737,315.4210526,420.9368421,341.90625,332.2708333,384.8958333,492.40625,428.4791667,,,,,,,,,,,,,,,
Sat,162,331.6875,193.46875,292.0526316,291.8,385.5368421,377,317.1770833,404.1979167,512.9895833,461.2708333,,,,,,,,,,,,,,,
Sun,163,325.1458333,193.4583333,303.3157895,298.7684211,402.6210526,377,326.28125,399.7083333,509.9166667,454.46875,,,,,,,,,,,,,,,
Mon,164,311.6354167,192.3854167,305.7157895,307.6842105,404.4,377,333.8958333,400.78125,509.1458333,454.6145833,,,,,,,,,,,,,,,
Tue,165,334.375,196.1770833,309.5157895,308.0631579,406.3684211,377,328.9270833,403.8958333,514.7395833,456.2708333,,,,,,,,,,,,,,,
Wed,166,321.8229167,179.4791667,309.9052632,309.1789474,407.3894737,377,332.9895833,396.4166667,515.2708333,457.6041667,,,,,,,,,,,,,,,
Thu,167,294.78125,188.5833333,307.4210526,310.6736842,408.9894737,377,331.8020833,367.2083333,461.4479167,399.5729167,,,,,,,,,,,,,,,
Fri,168,324.3645833,192.9270833,311.2105263,316.3684211,420.3263158,377,332.2708333,384.8958333,492.40625,429.3541667,,,,,,,,,,,,,,,
Sat,169,331.6875,192.53125,293.4947368,292.1894737,387,377,317.8229167,411.3958333,513.0833333,461.2708333,,,,,,,,,,,,,,,
Sun,170,325.1458333,194.0104167,302.9894737,298.1157895,403.3473684,377,326.28125,471,509.9166667,452.7291667,,,,,,,,,,,,,,,
Mon,171,313.0416667,194.9479167,306.3157895,309.6210526,405.6526316,377,333.8958333,471,509.1875,454.6145833,,,,,,,,,,,,,,,
Tue,172,334.375,196.6145833,309.5368421,310.2421053,405.3263158,377,328.8854167,471,514.7395833,456.2708333,,,,,,,,,,,,,,,
Wed,173,321.8229167,181.2395833,310.9789474,310.6,408.7263158,377,332.9895833,471,515.2708333,457.6041667,,,,,,,,,,,,,,,
Thu,174,294.7708333,191.6145833,308.5684211,310.8842105,410.2210526,377,331.8020833,471,461.4479167,399.9375,,,,,,,,,,,,,,,
Fri,175,324.3645833,193.5416667,311.0526316,316.4315789,419.2526316,377,332.2708333,471,492.3541667,429.3541667,,,,,,,,,,,,,,,
